name,alt_name
Ameen Al-Dakhil,Ameen Al Dakhil
Andreas Hanche Olsen,Andreas Hanche-Olsen
Ayoube Amaimouni Echghouyab,Aoube Amaimouni-Echghouyab
Dan Zagadou,Dan-Axel Zagadou
Daniel Fernandes,Daniel Heuer Fernandes
David Daiber,David Santos
Ezequiel Fernandez,Equi Fernandez
Isak Hansen Aaroen,Isak Hansen-Aaroen
Jae-sung Lee,Lee Jae-Sung
Jan-Niklas Beste,Niklas Beste
Jonas Adjei Adjetey,Jonas Adjetey
Leart Paqarada,Leart Pacarada
Maximilian Rosenfelder,Max Rosenfelder
Mohamed Amoura,Mohammed Amoura
Ransford Yeboah Konigsdorffer,Ransford Konigsdorffer
Silas,Silas Katompa Mvumpa
Tom Alexander Rothe,Tom Rothe
Victor Okoh Boniface,Victor Boniface
Vinicius Souza,Vini Souza
Yannick Engelhardt,Yannik Engelhardt
Alisson,Alisson Becker
Alysson,Alysson Edward
Carlos Alcaraz,Charly Alcaraz
Daniel Ballard,Dan Ballard
Daniel Bentley,Dan Bentley
Eli Junior Kroupi,Junior Kroupi
Florentino Luis,Florentino
Jair,Jair Cunha
Jamaldeen Jimoh,Jamaldeen Jimoh-Aloba
Jocelin Ta Bi,Djiamgone Jocelin Ta Bi
Josh King,Joshua King
Max Kilman,Maximilian Kilman
Oliver Scarles,Ollie Scarles
Vitaliy Mykolenko,Vitalii Mykolenko
Anastasios Douvikas,Tasos Douvikas
Benjamin Dominguez,Benja Dominguez
Ederson,Ederson Silva
Jean Daniel Akpa-Akpro,Jean-Daniel Akpa-Akpro
Marc Kempf, Marc Oliver Kempf
Moatasem Al-Musrati,Al Musrati
