name,team, played_matches,most_recent
Aaron Anselmino,RC Strasbourg,3,True
Aaron Anselmino,Borussia Dortmund,6,False
Ademola Lookman,Atlético Madrid,12,False
Ademola Lookman,Atalanta,12,True
Adrien Rabiot,Olympique de Marseille,1,False
Adrien Rabiot,AC Milan,29,True
Albert Gronbaek,Genoa,4,False
Albert Gronbaek,Hamburger SV,7,True
Alessio Castro-Montes,Royale Union Saint-Gilloise,5,False
Alessio Castro-Montes,1. FC Köln,14,True
Alex Amorim,FC Alverca,19,False
Alex Amorim,Genoa,11,True
Alex Jimenez,AC Milan,1,False
Alex Jimenez,Bournemouth,31,True
Alisson Santos,SSC Napoli,14,True
Alisson Santos,Sporting CP,18,False
Andy Diouf,Inter,19,True
Andy Diouf,RC Lens,1,False
Angel Alarcon,FC Utrecht,13,True
Angel Alarcon,FC Porto,3,False
Angel Gomes,Wolverhampton,12,True
Angel Gomes,Olympique de Marseille,14,False
Anthony Descotte,FC Volendam,14,True
Anthony Descotte,RC Sporting Charleroi,3,False
Arnaud Kalimuendo,Nottingham Forest,8,False
Arnaud Kalimuendo,Eintracht Frankfurt,19,True
Arnaud Nordin,Stade Rennais,10,True
Arnaud Nordin,1. FSV Mainz 05,13,False
Arthur Masuaku,RC Lens,4,True
Arthur Masuaku,Sunderland,3,False
Badredine Bouanani,Nice,2,False
Badredine Bouanani,VfB Stuttgart,14,True
Bas Kuipers,FC Arouca,17,True
Bas Kuipers,FC Twente,6,False
Benjamin Pavard,Olympique de Marseille,27,True
Benjamin Pavard,Inter,1,False
Bernard Nguene,Nice,6,False
Bernard Nguene,Standard Liège,14,True
Bertrand Traore,Sunderland,12,True
Bertrand Traore,AFC Ajax,1,False
Billal Brahimi,CF Estrela Amadora,4,True
Billal Brahimi,Nice,1,False
Brajan Gruda,RB Leipzig,13,True
Brajan Gruda,Brighton & Hove Albion,18,False
Bryan Zaragoza,AS Roma,4,True
Bryan Zaragoza,Celta Vigo,19,False
Calvin Verdonk,NEC Nijmegen,4,False
